verdict	only_hist	only_disk	disk_size	hist_size	rel_path	snapshot	strategy	hist_uri
MINOR	0	0	889	88768	CaseCrack/tools/burp_enterprise/compliance_pkg/checks/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py
MINOR	0	0	3246	88768	CaseCrack/tools/burp_enterprise/graph/multi_agent/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py
MINOR	0	0	2029	88768	CaseCrack/tools/burp_enterprise/graph/reasoning/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py
MINOR	0	0	0	88768	CaseCrack/tools/burp_enterprise/graph/multi_agent/tests/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py
MINOR	0	0	2143	88768	CaseCrack/tools/burp_enterprise/inference/model_management/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py
MINOR	0	3	8334	88768	CaseCrack/tools/burp_enterprise/recon_dashboard/phase_handlers/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py
MINOR	0	0	2642	88768	CaseCrack/tools/burp_enterprise/swarm/multi_gpu/__init__.py	C:\Users\ya754\AppData\Roaming\Code\User\History\-3bcd2844\XCHc.py	basename	file:///c%3A/Users/ya754/Shopigy/tools/burp_enterprise/__init__.py
MINOR	2	0	68474	77265	CaseCrack/tools/burp_enterprise/stealth_orchestrator.py	C:\Users\ya754\AppData\Roaming\Code\User\History\768ce44c\XzuM.py	basename	file:///c%3A/Users/ya754/CaseCrack%20v1.0/CaseCrack/tools/burp_enterprise/stealth_orchestrator.py
MINOR	1	0	23393	75209	CaseCrack/tools/burp_enterprise/recon_dashboard/atlas_api.py	C:\Users\ya754\AppData\Roaming\Code\User\History\5f0d7241\3msW.py	basename	file:///c%3A/Users/ya754/CaseCrack%20v1.0/CaseCrack/tools/burp_enterprise/recon_dashboard/atlas_api.py
MINOR	2	0	61227	72850	CaseCrack/tools/burp_enterprise/adaptive_chain_engine.py	C:\Users\ya754\AppData\Roaming\Code\User\History\65624233\dHgJ.py	basename	file:///c%3A/Users/ya754/CaseCrack%20v1.0/CaseCrack/tools/burp_enterprise/adaptive_chain_engine.py
